Project_ID,Description,Risk_Types
153,"This is a Mixed-Use project in North Charles, Hong Kong. Budget: 31.6M, Timeline: 45 months, Past Incidents: 5. Stakeholders are actively involved. involves heavy machinery dependent on weather conditions tight quality control needed","Safety,Delay,Quality Issue"
154,"This is a Industrial project in Jamesmouth, Jersey. Budget: 9.7M, Timeline: 52 months, Past Incidents: 2. The project is well-planned. requires working at heights",Safety
155,"This is a Mixed-Use project in Connieton, Trinidad and Tobago. Budget: 10.7M, Timeline: 45 months, Past Incidents: 4. The team is experienced. requires working at heights material prices are volatile","Safety,Budget Overrun"
156,"This is a Commercial project in East Courtneystad, Nauru. Budget: 30.0M, Timeline: 36 months, Past Incidents: 1. Stakeholders are actively involved. needs strict safety protocols",Safety
157,"This is a Residential project in Chelseamouth, Rwanda. Budget: 94.5M, Timeline: 8 months, Past Incidents: 2. Stakeholders are actively involved. has potential for accidents dependent on weather conditions","Safety,Delay"
158,"This is a Residential project in East Shawnstad, Denmark. Budget: 50.1M, Timeline: 35 months, Past Incidents: 0. The project follows standard practices. involves heavy machinery",Safety
159,"This is a Infrastructure project in Port Michael, Congo. Budget: 77.7M, Timeline: 59 months, Past Incidents: 5. Stakeholders are actively involved. located in a high-risk area high carbon footprint","Safety,Environmental"
160,"This is a Mixed-Use project in North Catherine, Moldova. Budget: 47.8M, Timeline: 38 months, Past Incidents: 1. Stakeholders are actively involved. complex scheduling required",Delay
161,"This is a Infrastructure project in Cruzmouth, Swaziland. Budget: 47.7M, Timeline: 18 months, Past Incidents: 0. The project follows standard practices. involves heavy machinery strict environmental regulations","Safety,Environmental"
162,"This is a Infrastructure project in South Carrieport, Rwanda. Budget: 8.2M, Timeline: 39 months, Past Incidents: 0. The project is well-planned. needs strict safety protocols waste management challenges","Safety,Environmental"
163,"This is a Commercial project in Paulatown, Hungary. Budget: 37.7M, Timeline: 50 months, Past Incidents: 5. Stakeholders are actively involved. involves heavy machinery complex scheduling required currency exchange risks","Safety,Delay,Budget Overrun"
164,"This is a Industrial project in Gonzalezland, Iceland. Budget: 73.8M, Timeline: 40 months, Past Incidents: 5. The team is experienced. located in a high-risk area complex scheduling required high precision required","Safety,Delay,Quality Issue"
165,"This is a Residential project in North Kimberly, Russian Federation. Budget: 38.1M, Timeline: 18 months, Past Incidents: 0. The project follows standard practices. unproven subcontractors",Quality Issue
166,"This is a Commercial project in Perryfort, Cameroon. Budget: 92.4M, Timeline: 13 months, Past Incidents: 1. Stakeholders are actively involved. has potential for accidents dependent on weather conditions high carbon footprint","Safety,Delay,Environmental"
167,"This is a Infrastructure project in Lake Jenniferborough, Chad. Budget: 68.5M, Timeline: 36 months, Past Incidents: 4. Stakeholders are actively involved. needs strict safety protocols may face permitting delays located in a sensitive ecosystem","Safety,Delay,Environmental"
168,"This is a Commercial project in Lake Oscar, Burkina Faso. Budget: 29.3M, Timeline: 11 months, Past Incidents: 0. The project is well-planned. involves heavy machinery potential supply chain disruptions currency exchange risks potential for soil contamination","Safety,Delay,Budget Overrun,Environmental"
169,"This is a Infrastructure project in Lake James, United Arab Emirates. Budget: 14.2M, Timeline: 11 months, Past Incidents: 2. The team is experienced. uses new construction techniques",Quality Issue
170,"This is a Mixed-Use project in Nguyenfurt, Montserrat. Budget: 74.1M, Timeline: 26 months, Past Incidents: 1. The project follows standard practices. involves heavy machinery",Safety
171,"This is a Residential project in East Sandraborough, Bhutan. Budget: 5.0M, Timeline: 54 months, Past Incidents: 1. The project is well-planned. located in a high-risk area high precision required","Safety,Quality Issue"
172,"This is a Mixed-Use project in Richborough, Mali. Budget: 59.9M, Timeline: 59 months, Past Incidents: 5. Stakeholders are actively involved. scope creep is likely waste management challenges","Budget Overrun,Environmental"
173,"This is a Mixed-Use project in Sandrastad, Malawi. Budget: 26.3M, Timeline: 52 months, Past Incidents: 5. The project is well-planned. requires working at heights has a tight deadline","Safety,Delay"
174,"This is a Infrastructure project in Hoganton, Kyrgyz Republic. Budget: 48.2M, Timeline: 47 months, Past Incidents: 1. The team is experienced. has potential for accidents tight quality control needed high carbon footprint","Safety,Quality Issue,Environmental"
175,"This is a Infrastructure project in Dorseyburgh, Russian Federation. Budget: 60.5M, Timeline: 42 months, Past Incidents: 5. The project follows standard practices. uncertain cost estimates",Budget Overrun
176,"This is a Residential project in Lake Jacobshire, Martinique. Budget: 74.1M, Timeline: 9 months, Past Incidents: 4. The team is experienced. uncertain cost estimates high precision required high carbon footprint","Budget Overrun,Quality Issue,Environmental"
177,"This is a Residential project in Lake Jenniferchester, Suriname. Budget: 40.9M, Timeline: 15 months, Past Incidents: 3. The team is experienced. has potential for accidents uses new construction techniques","Safety,Quality Issue"
178,"This is a Mixed-Use project in Port Craigport, Turks and Caicos Islands. Budget: 60.0M, Timeline: 29 months, Past Incidents: 5. Stakeholders are actively involved. scope creep is likely strict environmental regulations","Budget Overrun,Environmental"
179,"This is a Commercial project in Leemouth, Ecuador. Budget: 25.1M, Timeline: 17 months, Past Incidents: 3. Stakeholders are actively involved. dependent on weather conditions",Delay
180,"This is a Mixed-Use project in Jessicahaven, Bhutan. Budget: 85.5M, Timeline: 24 months, Past Incidents: 5. Stakeholders are actively involved. located in a high-risk area tight quality control needed waste management challenges","Safety,Quality Issue,Environmental"
181,"This is a Industrial project in Jacksonside, Zambia. Budget: 33.5M, Timeline: 23 months, Past Incidents: 1. The project is well-planned. contingency budget is low high precision required potential for soil contamination","Budget Overrun,Quality Issue,Environmental"
182,"This is a Commercial project in Veronicamouth, Syrian Arab Republic. Budget: 32.8M, Timeline: 36 months, Past Incidents: 1. The team is experienced. dependent on weather conditions uncertain cost estimates","Delay,Budget Overrun"
183,"This is a Industrial project in New Brittanytown, Faroe Islands. Budget: 13.2M, Timeline: 55 months, Past Incidents: 3. The project is well-planned. located in a high-risk area dependent on weather conditions tight quality control needed","Safety,Delay,Quality Issue"
184,"This is a Mixed-Use project in Lake Kellyfurt, Angola. Budget: 14.3M, Timeline: 53 months, Past Incidents: 0. The project is well-planned. strict environmental regulations",Environmental
185,"This is a Infrastructure project in Kristenhaven, Bulgaria. Budget: 75.6M, Timeline: 35 months, Past Incidents: 0. The team is experienced. waste management challenges",Environmental
186,"This is a Commercial project in Rodneyland, Azerbaijan. Budget: 16.3M, Timeline: 11 months, Past Incidents: 3. The team is experienced. located in a high-risk area may face permitting delays","Safety,Delay"
187,"This is a Residential project in Anneburgh, Jersey. Budget: 6.8M, Timeline: 25 months, Past Incidents: 0. The team is experienced. complex design",Quality Issue
188,"This is a Mixed-Use project in Port Ronald, Malawi. Budget: 93.7M, Timeline: 11 months, Past Incidents: 3. The team is experienced. high carbon footprint",Environmental
189,"This is a Industrial project in Melissahaven, Argentina. Budget: 79.6M, Timeline: 33 months, Past Incidents: 4. The team is experienced. located in a high-risk area",Safety
190,"This is a Industrial project in South Jessica, Eritrea. Budget: 63.5M, Timeline: 58 months, Past Incidents: 4. Stakeholders are actively involved. uncertain cost estimates",Budget Overrun
191,"This is a Residential project in New Christopher, Aruba. Budget: 16.1M, Timeline: 47 months, Past Incidents: 2. The project follows standard practices. requires working at heights complex scheduling required","Safety,Delay"
192,"This is a Infrastructure project in Port Ashlee, Iceland. Budget: 63.8M, Timeline: 25 months, Past Incidents: 3. The team is experienced. has a tight deadline waste management challenges","Delay,Environmental"
193,"This is a Infrastructure project in Jenniferview, Pakistan. Budget: 74.6M, Timeline: 54 months, Past Incidents: 1. The project is well-planned. needs strict safety protocols",Safety
194,"This is a Mixed-Use project in East Melinda, Hungary. Budget: 4.0M, Timeline: 15 months, Past Incidents: 0. The project follows standard practices. involves heavy machinery scope creep is likely","Safety,Budget Overrun"
195,"This is a Industrial project in North Jenniferbury, Argentina. Budget: 81.9M, Timeline: 32 months, Past Incidents: 2. The project follows standard practices. unproven subcontractors high carbon footprint","Quality Issue,Environmental"
196,"This is a Industrial project in Thompsonland, Falkland Islands (Malvinas). Budget: 69.4M, Timeline: 14 months, Past Incidents: 4. The project follows standard practices. uncertain cost estimates",Budget Overrun
197,"This is a Residential project in North Christopherbury, Argentina. Budget: 2.0M, Timeline: 60 months, Past Incidents: 1. Stakeholders are actively involved. dependent on weather conditions tight quality control needed","Delay,Quality Issue"
198,"This is a Commercial project in Madelinehaven, Niger. Budget: 69.7M, Timeline: 26 months, Past Incidents: 5. The team is experienced. involves heavy machinery may face permitting delays unproven subcontractors located in a sensitive ecosystem","Safety,Delay,Quality Issue,Environmental"
199,"This is a Mixed-Use project in Andersonside, Saint Martin. Budget: 21.2M, Timeline: 22 months, Past Incidents: 0. The team is experienced. located in a high-risk area uses new construction techniques","Safety,Quality Issue"
200,"This is a Residential project in Port Rebeccahaven, Ukraine. Budget: 7.4M, Timeline: 33 months, Past Incidents: 1. The team is experienced. located in a sensitive ecosystem",Environmental
201,"This is a Infrastructure project in South Calebland, Ghana. Budget: 56.9M, Timeline: 53 months, Past Incidents: 1. The team is experienced. high precision required",Quality Issue
